Sr. No.,RD of Watercourse and Name of Channel,Area Covered (in Ha.),Likely length to be lined (as per new norms),Estimated Cost (Rs. in Lakh),Name of Constituency,Name of Village
105,54100/R Dhamtan Disty.,70.00,7000,41.01,Kalayat,Kurar
106,6190/L Dhanaury Disty.,129.60,12960,84.50,Kalayat,Sajuma
107,6000/R Dhanaury Disty.,48.00,4800,28.53,Kalayat,Sajuma
108,40200/R Dhanaury Disty.,132.40,13240,86.15,Kalayat,Dhanauri
109,17950/R Dhamtan Disty.,132.40,13240,86.15,Kalayat,Brahmnivala
110,43015/L Dhamtan Disty.,250.00,25000,186.43,Kalayat,"Kherilamba,Saju ma"
111,"12100/8954/L Mohalgarh Minor",142.00,14200,92.36,Kalayat,Dhundwa
112,17500/TR New Kalayat Minor,178.80,17880,130.25,Kalayat,kherilamba
177,"6000/6052/L Koth Kalan Disty.",270.00,27000,168.98,Narwana,"Budain,Bhongra"
178,8350/R Sinsar Minor,188.40,18840,127.27,Narwana,Sinsar
179,"15188/18080/L Mohalgarh Minor",152.00,15200,102.67,Narwana,Dhundwa
180,43890/L Dhamtan Link Channel,149.60,14960,101.20,Narwana,"Khararwal,Amargarh"
181,104990/R Dhamtan Disty.,103.20,10320,62.49,Narwana,Dhabiteksingh
182,29066/R Dharodi Minor,181.60,18160,122.57,Narwana,"Belarkha, Hamirgarh"
183,20600/TR Kharal Minor,236.80,23680,183.28,Narwana,Kharal
184,16800/L Dharodi MInor,162.00,16200,109.36,Narwana,"Belarkha, Ambarsar"
185,64670/R Dhamtan Disty.,170.40,17040,115.13,Narwana,"Ujhana,Kurar"
186,23430/TF New Sinsar Minor,92.40,9240,60.40,Narwana,"Singhwal,Bidhrana"
187,34960/L Dhamtan Link Channel,73.60,7360,42.89,Narwana,"Rajgarhdhobi,Lochab"
188,2511/R Nsk Minor,42.80,4280,25.34,Narwana,Sunderpura
189,15000/R BML Barwala Link,251.60,25160,187.54,Narwana,Rewar
190,37600/L Narwana Minor,105.20,10520,64.06,Narwana,"Dablain,Sachhakhera"
191,336000/R Sirsa Branch,216.00,21600,140.29,Narwana,"Badanpur,sunderpura,Dumarkhan"
192,57800/R Dharodi Minor,224.80,22480,157.40,Narwana,Khanpur
193,71700/R Dhamtan Disty.,187.60,18760,126.80,Narwana,Ujhana
194,24130/TL Mohalgarh Minor,289.20,28920,230.78,Narwana,Bhanabrahmanan
195,144800/L Dhamtan Disty.,174.80,17480,117.87,Narwana,"Sulhera,Fuliakalan"
196,14770/R GurthliLift Minor,156.40,15640,105.90,Narwana,"Surjakhera,Bhana brahmanan"
197,158810/L Dhamtan Disty.,163.60,16360,110.36,Narwana,"Khararwal,Nehra"
198,17400/L Pipaltha Minor,141.60,14160,92.13,Narwana,"Nepewala,Datasinghwala"
199,364180/L Sirsa Branch,185.22,18522,125.30,Narwana,"Danodakalan,khurd Mangalpur"
200,20000/L Pipaltha Minor,175.20,17520,118.59,Narwana,"Nepewala,Datasinghwala"
201,25000/L Pipaltha Minor,128.40,12840,83.78,Narwana,"Garhi,Ujhana"
202,16500/L Gurthli Lift Minor,215.60,21560,151.43,Narwana,"Belarkha, Bhana brahmanan"
203,10460/R Kaloda Sub MInor,169.60,16960,114.65,Narwana,"Kalodakalan,Bhikhewala"
204,31370/L Narwana Minor,238.00,23800,177.64,Narwana,Dablain
205,6800/R Kaloda Sub Minor,131.20,13120,85.46,Narwana,"Bhikhewala, Danoda khurd"
206,9890/L Sinsar Minor,70.80,7080,41.41,Narwana,"Sudkain kalan, Sinsar"
207,12500/TL Sinsar Minor,422.00,42200,363.07,Narwana,Dhakal
208,11125/L Pipaltha Minor,231.20,23120,162.08,Narwana,Dhanaury
209,16500/R Dharamgarh Minor,58.80,5880,34.65,Narwana,Baddowala
210,25600/R Lown minor,294.40,29440,220.16,Narwana,"Harnampura, Dhamtan"
211,115655/R Dhamtan Disty.,347.60,34760,269.13,Narwana,Dhamtan Sahib
212,37850/L Dhamtan Link Channel,249.60,24960,186.16,Narwana,"Lochab,Amargarh"
213,5500/L Gurthli lift Minor,126.00,12600,82.36,Narwana,"Belarkha,Gurthli, Surjakhera"
214,7431/R Gurthli Lift Minor,156.40,15640,105.90,Narwana,"Gurthli,Surjakhera"
215,10200/TF Koel Sub Minor,256.80,25680,205.17,Narwana,Koel
216,47085/R Dhamtan Link Channel,154.40,15440,104.18,Narwana,Khararwal
217,26500/R Dharodi Minor,296.80,29680,222.32,Narwana,"Kharal,Belarkha"
218,28900/L Nsk Minor,144.80,14480,94.04,Narwana,"Danoda kalan,khurd"
219,12697/L Gurthli Lift Minor,194.80,19480,140.32,Narwana,"Surjakhera,Belarkha"
220,20600/TF Kharal Minor,277.20,27720,221.32,Narwana,"Kharal,Lown"
221,13400/R Kharal Minor,150.00,15000,101.44,Narwana,Kharal
222,71400/L Dhamtan Disty.,164.40,16440,110.88,Narwana,Ujhana
223,22000/R Dharodi Minor,147.60,14760,99.96,Narwana,Belarkha
224,"14668/17800/L Mohalgarh Minor",258.40,25840,192.73,Narwana,"Kolekhan,Dhundwa"
225,12150/L Lown Minor,85.20,8520,49.92,Narwana,Lown
226,29900/L Lown Minor,165.20,16520,123.90,Narwana,"Kharal,Hamirgarh,Karamgarh"
227,35490/R Pipltha Minor,154.40,15440,115.80,Narwana,Pipaltha
228,35840/L Pipltha Minor,108.00,10800,75.60,Narwana,Pipaltha
229,1140/R Narwana Minor,199.60,19960,159.68,Narwana,"Narwana, Mohalkhera"
230,140920/R Sudkan Disty,298.80,29880,239.40,Narwana,"Dumarkha Khurd,Dumarkha Kalan"
231,27650/L Barsola Feeder,33.20,3320,21.58,Uchana,Khatkar
232,10500/L 3/L Barsola Minor,125.60,12560,82.10,Uchana,"Khatkar,kasoon"
233,1250/L Tarkha Minor,154.00,15400,103.91,Uchana,"Sudkain kalan,Shudkain khurd"
234,18000/L New Sainthly Minor,52.00,5200,30.62,Uchana,Mangalpur
235,135000/R Sudkain Disty,52.00,5200,34.43,Uchana,"Sudkain kalan,Shudkain khurd"
236,26588/R Chhater Minor,157.60,15760,106.66,Uchana,Chhater
237,2250/R Nara Minor,132.77,13277,86.40,Uchana,Makhand
238,18950/L Barsola Minor,138.40,13840,90.22,Uchana,"Chhater,alipur,Lodhar"
239,"13600/23688/R Chhater Minor",131.60,13160,85.69,Uchana,Chhater
240,52500/L Barsola Minor,152.80,15280,103.19,Uchana,"Baroda,Uchana Kalan,Palwan"
241,6700/L Surbra Disty.,193.60,19360,139.51,Uchana,"Kakrod,Surbra"
242,17088/R Chhater Minor,58.00,5800,34.25,Uchana,Chhater
243,41700/L Barsola Minor,179.20,17920,121.10,Uchana,Karsindhu
244,16800/R Ghasso Feeder,88.40,8840,51.60,Uchana,Jheel
245,12048/L Koth Kalan Disty,212.64,21264,149.06,Uchana,"Budain,Bhongra"
246,3675/R Udeypur Minor,80.77,8077,47.11,Uchana,"Nacharkhera,kakrod"
247,147340/R Sudkain Disty.,189.60,18960,128.03,Uchana,"Sudkain kalan,Shudkain khurd"
248,142415/R Sudkain Disty.,201.20,20120,145.08,Uchana,"Dumarkhan Kalan,Dumarkha Khurd"
249,6052/R Koth kalan Disty.,162.10,16210,109.42,Uchana,"Budain,Bhongra"
250,6265/R Ghasso Minor,133.20,13320,86.65,Uchana,"Ghasso Khurd,Ghasso Kalan"
251,"35900/36500/TF 1-L Barsola Minor",44.80,4480,26.38,Uchana,Kasoon
252,3000/L Nara Disty,186.81,18681,126.29,Uchana,Makhand
253,14040/L Barsola Feeder,34.80,3480,20.67,Uchana,Ghassokalan,khurd
254,5640/R TBS Feeder,146.80,14680,95.70,Uchana,Ghassokalan
255,19500/L 4/L Barsola Minor,255.20,25520,191.43,Uchana,Barsola
256,13583/R Ghasso Feeder,164.80,16480,111.11,Uchana,Jheel
257,14270/L 2/L Sainthli Minor,180.29,18029,121.75,Uchana,Surbra