Sr No.,Name of Works RD,Type Remod/Ext.,CCA,GCA,JE,Current Status,Completion Date as per HEWP Agreement,Agreement No. & Agreement Date,Agency Name.Mobile.Number,Maximum Length to be lined (CCAx40),Already Lined Length,Balance Length,APPROVED LENGTH,CONSTRUCTED LENGTH,Current Financial Status,Current Physical Status,Name of Village,Consitiuency,Name of Block,District,A/A Amount,Agreement Amount,Total Bill amount Received,Last Bill amount,Last Bill Date,Date on which Time extension is required,Date of Final Bill,Date of defect Liability Period,Dia of Pipe,BW,FSD,Number Of Hodi In Estimate,Number Of Hodi Constructed,Number Of Nakka In Estimate,Number Of Nakka constructed,Number Of culvert in Estimate,Number Of Culvert Constructed,Name of WUA,Contact WUA,New column
46,17773-L Kalwan Minor,REMODELLING,,,Sunil Kumar ,"DETAIL ESTIMATE SANCTIONED BUT TENDER HAS NOT CALLED YET",,,,0,,0,12400,,#DIV/0!,,PIPALTHA,Narwana,Narwana,JIND,,,,,,,,,,,,,,,,,,,8950900295 rishipal,
47,11500-L kalwan Minor,REMODELLING,,,Sunil Kumar,"NOT FEASIBLE PENDING DUE TO CHAKPLAN AND FARMER DETAIL NOT FOUND ",,,,0,,0,,,#DIV/0!,,"PIPALTHA,REWAR",Narwana,Narwana,JIND,,,,,,,,,,,,,,,,,,,,
48,15530-L kalwan Minor,REMODELLING,,,Anil Hans JE,"DETAIL ESTIMATE SANCTIONED BUT TENDER HAS NOT CALLED YET",,,,0,,0,,,#DIV/0!,,PIPALTHA,Narwana,Narwana,JIND,,,,,,,,,,,,,,,,,,,,
49,23100-L NSk Minor,REMODELLING,,,Sunil Kumar ,"Tender has opened and work alloted to Gurdeep Cont.",,,,0,,0,,,#DIV/0!,,DANODA KHURD,Narwana,Narwana,JIND,,,,,,,,,,,,,,,,,,,,
50,16888-L Chhatar Minor,REMODELLING,,,Anil Hans JE,"DETAIL ESTIMATE SANCTIONED BUT TENDER HAS NOT CALLED YET",,,,0,,0,,,#DIV/0!,,CHHATER,Uchana,Uchana,JIND,,,,,,,,,,,,,,,,,,,,
51,18000-L Chattar Minor,REMODELLING,,,Anil Hans JE,"DETAIL ESTIMATE SANCTIONED BUT TENDER HAS NOT CALLED YET",,,,0,,0,,,#DIV/0!,,CHHATER,Uchana,Uchana,JIND,,,,,,,,,,,,,,,,,,,,
52,11500/21588-R Chattar Minor,REMODELLING,,,Anil Hans JE,"DETAIL ESTIMATE SANCTIONED BUT TENDER HAS NOT CALLED YET",,,,0,,0,,,#DIV/0!,,CHHATER,Uchana,Uchana,JIND,,,,,,,,,,,,,,,,,,,,
53,"20700/30788-TF Chhatar Minor",REMODELLING,,,Anil Hans JE,"DETAIL ESTIMATE OF UGPL HAS SANCTIONED BUT NOW FARMER WANTS OPEN W/C",,,,0,,0,,,#DIV/0!,,CHHATER,Uchana,Uchana,JIND,,,,,,,,,,,,,,,,,,,,
54,17493-R Kheri Saffa Minor,REMODELLING,,,Sunil Kumar ,DETAIL ESTIMATE PENDING,,,,0,,0,,,#DIV/0!,,"PALWAN,UCHANA",Uchana,Uchana,JIND,,,,,,,,,,,,,,,,,,,,
55,13000-L New Sainthaly Minor,REMODELLING,,,Sunil kumar,"NOT FEASIBLE OUT OF NORMS AS NOT 20 YEAR OLD",,,,0,,0,,,#DIV/0!,,MANGALPUR,Uchana,Uchana,JIND,,,,,,,,,,,,,,,,,,,,
56,1520-R New Chhan Minor,REMODELLING,,,Sunil Kumar ,"Tender has opened and work alloted to Gurdeep Cont.",,,,0,,0,11994,,#DIV/0!,,MAKHAND,UCHANA,UCHANA,JIND,,,,,,,,,,,,,,,,,,,8901429510 chandiram,
57,13513-L NSK Minor,REMODELLING,,,Sunil Kumar ,"DETAIL ESTIMATE SANCTIONED BUT TENDER HAS NOT CALLED YET",,,,0,,0,,,#DIV/0!,,"MANGALPUR,BADANPUR",Uchana,Uchana,JIND,,,,,,,,,,,,,,,,,,,,
58,19000-L Chhatar Badsikri Link,REMODELLING,,,Anil Hans JE,"DETAIL ESTIMATE SANCTIONED BUT TENDER HAS NOT CALLED YET",,,,0,,0,,,#DIV/0!,,"CHHATER,MANDIKALAN",Uchana,Uchana,JIND,,,,,,,,,,,,,,,,,,,,
59,14975-R Sandlana Minor,REMODELLING,,,Sunil Kumar ,"Tender has opened and work alloted to Vicky Nehra Cont.",,,,0,,0,17000,,#DIV/0!,,KAKROD,Uchana,Uchana,JIND,,,,,,,,,,,,,,,,,,,"9813060478 mahabir,8930057144 rajpal,8053439530 satpal",
60,54750-L Dhamtan Disty,REMODELLING,,,Sunil Kumar ,"Tender has opened and work alloted to GB Traders Cont.",,,,0,,0,18480,,#DIV/0!,,"KHERILAMBA,KURAR",Kalayat,Kalayat,KAITHAL,,,,,,,,,,,,,,,,,,,"9467646064 mahender, 9671060877 baldev",
61,15188/18088-L Mohalgarh Minor,REMODELLING,,,Anil Hans JE,"DETAIL ESTIMATE SANCTIONED BUT TENDER HAS NOT CALLED YET",,,,0,,0,,,#DIV/0!,,DHUNDWA,Kalayat,Kalayat,KAITHAL,,,,,,,,,,,,,,,,,,,,
62,52585-L Sirsa Parallel Disty,REMODELLING,,,Sunil Kumar ,"PENDING SURVEY farmers not showing interest",,,,0,,0,,,#DIV/0!,,KALAYAT,Kalayat,Kalayat,KAITHAL,,,,,,,,,,,,,,,,,,,"9050217010 vikram, 9812319352 foji, 9896711627 Anil Hans",
63,31500-R Dhamtan Sub Branch,REMODELLING,,,Sunil Kumar ,"Detail estimate sent to head office for sanction",,,,0,,0,,,#DIV/0!,,SAJUMA,Kalayat,Kalayat,KAITHAL,,,,,,,,,,,,,,,,,,,8059433137 kuldeep,
64,1000-L Sajuma Minor,REMODELLING,,,Sunil kumar,"Detail estimate submitted to xen",,,,0,,0,,,#DIV/0!,,NARWALGARH,Kalayat,Kalayat,KAITHAL,,,,,,,,,,,,,,,,,,,9466270418 rajesh,
65,11900-L Mataur Minor,REMODELLING,,,Sunil Kumar ,TENDER HAS FLOATED,,,,0,,0,14600,,#DIV/0!,,MATOUR,Kalayat,Kalayat,KAITHAL,,,,,,,,,,,,,,,,,,,"9050284323 mayasingh,8307619504 ",
66,14990-L Dhamtan Sub Branch,REMODELLING,,,Sunil Kumar ,TENDER HAS FLOATED,,,,0,,0,14597,,#DIV/0!,,"BATTA,BRAHMNIVALA",Kalayat,Kalayat,KAITHAL,,,,,,,,,,,,,,,,,,,9813355562 shabsingh,
67,50910-R Dhamtan Sub Branch,REMODELLING,,,Sunil Kumar ,"Detail estimate pending at Head office",,,,0,,0,,,#DIV/0!,,KURAR,Kalayat,Kalayat,KAITHAL,,,,,,,,,,,,,,,,,,,,
68,8500-R sajuma Minor,REMODELLING,,,Sunil Kumar ,"DETAIL ESTIMATE SANCTIONED BUT TENDER HAS NOT CALLED YET",,,,0,,0,7900,,#DIV/0!,,DHUNDERHERI,KAITHAL,KAITHAL,KAITHAL,,,,,,,,,,,,,,,,,,,"9991053700 amarjeet, 8168849231 shilu",
69,94625-R Sudkan Disty,REMODELLING,,,Anil Hans JE,"DETAIL ESTIMATE SANCTIONED BUT TENDER HAS NOT CALLED YET",,,,0,,0,,,#DIV/0!,,"BADSIKRI,MATOUR",Kalayat,Kalayat,KAITHAL,,,,,,,,,,,,,,,,,,,,
70,4500-L Sajuma Minor,REMODELLING,,,Anil Hans JE,"DETAIL ESTIMATE SANCTIONED BUT TENDER HAS NOT CALLED YET",,,,0,,0,,,#DIV/0!,,SAZOOMA,Kalayat,Kalayat,KAITHAL,,,,,,,,,,,,,,,,,,,,
71,42300-L Sirsa Parallel,REMODELLING,,,Anil Hans JE,"NOT FEASIBLE DUE TO CHAKPLAN AND FARMER DETAIL NOT FOUND ",,,,0,,0,,,#DIV/0!,,KALAYAT,Kalayat,Kalayat,KAITHAL,,,,,,,,,,,,,,,,,,,,
72,4300-R Sajuma Minor,REMODELLING,,,Sunil Kumar ,TENDER HAS FLOATED,,,,0,,0,14065,,#DIV/0!,,"BATA,DEEWAL",KAITHAL,KAITHAL,KAITHAL,,,,,,,,,,,,,,,,,,,"9518864104 gurjant, 9416660923 bedu",
73,8000-L Sajuma Minor,REMODELLING,,,Anil Hans JE,"DETAIL ESTIMATE SANCTIONED BUT TENDER HAS NOT CALLED YET",,,,0,,0,,,#DIV/0!,,SAZOOMA,Kalayat,Kalayat,KAITHAL,,,,,,,,,,,,,,,,,,,,
74,5148-R NSK Link Channel,REMODELLING,,,Sunil Kumar ,"Tender has opened and work alloted to Gurdeep Cont.",,,,0,,0,10600,,#DIV/0!,,DANODA KHURD,Narwana,Narwana,JIND,,,,,,,,,,,,,,,,,,,7206728042 sajjna,
75,"13000/13225/R.Pabra.sub.Branch",REMODELLING,,,Sunil Kumar ,"Tender has opened and work alloted to Anand Cont.",,,,0,,0,20372,,#DIV/0!,,Litani,Barwala,Barwala,Hisar,,,,,,,,,,,,,,,,,,,9466372080 sandeep,
76,37265/L NSK Minor,REMODELLING,,,Sunil Kumar ,"Tender has opened and work alloted to Anand Cont.",,,,0,,0,12800,,#DIV/0!,,DANODA KHURD,Narwana,Narwana,JIND,,,,,,,,,,,,,,,,,,,9991455698 mahender,
77,37200/L NSK Minor,REMODELLING,,,Sunil Kumar ,"Tender has opened and work alloted to Vishnu Cont.",,,,0,,0,26637,,#DIV/0!,,DaNODA KHURD,Narwana,Narwana,JIND,,,,,,,,,,,,,,,,,,,"8199027944 rajender, 9017598221 sandeep, ",
78,120100-R Sudkan Disty,EXTENSION,,,Sunil Kumar ,"DETAIL ESTIMATE sent to xen office",,,,0,,0,,,#DIV/0!,,,NARWANA,,,,,,,,,,,,,,,,,,,,,"7988162257 sudhir, 7027318422 ",
79,13245-R Barsola Minor,EXTENSION,324,355,Sunil Kumar ,COMPLETED AT SITE,16/9/2024,"No. 160 Dated 12.03.2024","THE JITGIR UDEYPUR SATISH 9992655030",12960,0,0,1540,1540,99.85%,,Ghasso ,Uchana,UCHANA,JIND,871000,593591,592684,280913,15/7/2024,NOT REQUIRED,PENDING,,2.3,0.625,-,-,9,,2,,,"9306102551 SAMSHER, 9468140808 NARESH",
80,22300-L Barsoal Minor,EXTENSION,,,Anil Hans JE,COMPLETED AT SITE,,,"THE JITGIR UDEYPUR SATISH 9992655030",0,,0,,,#DIV/0!,,,NARWANA,,,,,,,,,,,,,,,,,,,,,,
81,6912-L Belarkha Minor,EXTENSION,405,433,Sunil Kumar ,COMPLETED AT SITE,15/9/2024,"No. 157 dated 12.03.2024","VISHNU CONT.",16200,0,0,2418,2418,99.53%,,Dhundwa,Kalayat,Kalayat,Jind,1464000,1107227,1102014,435235,15/7/2024,final bill submitted,SENT FOR FINAL ,,1.9,0.875,-,-,22,,5,,,"satpal  9996913351, Bahadur",
82,10335-L Dharodi Minor,EXTENSION,196,270,Sunil Kumar ,COMPLETED AT SITE,18/9/2024,"No. 173 Dated 15.03.2024","THE GENDA KHERA CO-OP 9813476819",7840,0,0,1376,1376,99.52%,,Ambersar,NARWANA,UJHANA,JIND,1486000,620389,617389,617389,20/5/2024,15/12/2024,SENT FOR FINAL ,,1.9,0.625,-,-,12,,3,,,OMPARKASH 9050280730 RAJPAL 8168806826,
83,29066-R Dharodi Minor,EXTENSION,454,489,Sunil Kumar ,COMPLETED AT SITE,15/12/2024,"No. 176 Dated 10.06.2024","THE GENDA KHERA CO-OP 9813476819",18160,,,1558,1558,99.89%,,Hamirgarh,NARWANA,Narwana,Jind,1165000,696477,695678,695678,15/7/2024,15/12/2024,,,2.3,0.875,-,-,14,,3,,,samsher 7082094900,
84,37900-L Dharodi Disty,EXTENSION,,,Sunil Kumar ,"Tender has opened and work alloted to Satish Cont. Jitgir Udeypur but he is not interesed to do work",,,,0,,0,,,#DIV/0!,,,NARWANA,,,,,,,,,,,,,,,,,,,,,,
85,40148-L Dharodi Minor,EXTENSION,,,Sunil Kumar ,"Tender has opened and work alloted to Satish Cont. Jitgir Udeypur but he is not interesed to do work",,,"THE JITGIR UDEYPUR SATISH",0,,0,,,#DIV/0!,,,NARWANA,,,,,,,,,,,,,,,,,,,,,,
86,42300-L Dharodi Minor,EXTENSION,633,999,Sunil Kumar ,COMPLETED AT SITE,,"No. 171 dated 14.03.2024","THE KULHARIYA CO-OP SUKHBIR 7015179341",25320,0,25320,1243,1249,100.00%,,Dharodi,NARWANA,Narwana,JIND,746000,646719,640387,640387,22.07.2024,NOT REQUIRED,SENT FOR FINAL,,2.3,0.875,-,-,11,10,2,2,,"9416828162, 9034725116, 9467751827 Jaiparkash, ",
87,52440-L Dharodi Minor,EXTENSION,,,Sunil Kumar ,"Tender has opened and work alloted to Kharkia Cont.",,,,0,,0,,,#DIV/0!,,,NARWANA,,,,,,,,,,,,,,,,,,,,,,
88,58000-L Dharodi Minor,EXTENSION,,,Sunil Kumar ,"DETAIL ESTIMATE SANCTIONED BUT TENDER HAS NOT CALLED YET",,,,0,,0,,,#DIV/0!,,,NARWANA,,,,,,,,,,,,,,,,,,,,,9416374173 deo,
89,60200-R Dharodi Minor,EXTENSION,,,Sunil Kumar ,"Tender has opened and work alloted to Satish Cont. Jitgir Udeypur but he is not interesed to do work",,,"THE JITGIR UDEYPUR SATISH",0,,0,,,#DIV/0!,,,NARWANA,,,,,,,,,,,,,,,,,,,,,,
90,27870-L Dhanori Minor,EXTENSION,,,Sunil Kumar ,"Tender has opened and work alloted to Kakrod vala Cont.",,,,0,,0,,,#DIV/0!,,,NARWANA,,,,,,,,,,,,,,,,,,,,,,
91,12500-R Ghasso Minor,EXTENSION,390,438,Anil Hans JE,COMPLETED AT SITE,,,"THE BABA GAIBI SAHIB BHONGRA ANUP 9416557001",15600,,15600,,,#DIV/0!,,,NARWANA,,,3082000,,,,,,,,,1.9,0.875,,,24,,3,,,,
92,27000-R Kalwan Minor,EXTENSION,218,226,Sunil Kumar ,UNDER CONSTRUCTION,24/12/2024,,"THE PARBHU CO-OP ANAND 7015512673",8720,5753,2967,3784,1873,38.63%,,,NARWANA,,,1888000,1685676,651187,651187,28/6/2024,24/12/2024,,,350,-,-,10,2,30,12,-,-,,9416140482 SATPAL,
93,27400-L Kalwan Minor,EXTENSION,,,Sunil Kumar ,"Tender has opened and work alloted to ___________ Cont.",,,,0,,0,,,#DIV/0!,,,NARWANA,,,,,,,,,,,,,,,,,,,,,,
94,12400-R Kharal Minor,EXTENSION,378,393,Sunil Kumar ,COMPLETED AT SITE,16/12/2024,"No. 179 Dated 10.06.2024","RAJESH MOR 9996322543",15120,0,0,3520,3520,92.54%,,kharal,NARWANA,NARWANA,JIND,1860000,1464002,1354715,1354715,15/7/2024,16/12/2024,,,1.9,0.875,-,-,32,,4,,,"9466252347 BALKAR, 9034960622 SUNIL ",
95,20600-TF Kharal Minor,EXTENSION,,,Sunil Kumar ,"Tender has opened and work alloted to Rajesh Cont.",,,,0,,0,,,#DIV/0!,,,NARWANA,,,,,,,,,,,,,,,,,,,,,,
96,8600-L Kheri serkha Minor,EXTENSION,270,270,Anil Hans JE,COMPLETED AT SITE,,,"THE BABA GAIBI SAHIB BHONGRA ANUP 9416557001",10800,,10800,2811,,#DIV/0!,,,NARWANA,,,2071000,,,,,,,,,1.9,0.625,,,30,,9,,,,
97,8950-R Mohalgarh Minor,EXTENSION,,,Sunil Kumar ,UNDER CONSTRUCTION,,,,0,,0,,,#DIV/0!,,,NARWANA,,,,,,,,,,,,,,,,,,,,,,
98,12690-R Mohalgarh Minor,EXTENSION,,,Sunil Kumar ,COMPLETED AT SITE,,,"THE BABA GAIBI SAHIB BHONGRA ANUP 9416557001",0,,0,,,#DIV/0!,,,NARWANA,,,,,,,,,,,,,,,,,,,,,,
99,24130-TL Mohalgarh Minor,EXTENSION,,,Sunil Kumar ,"Tender has opened and work alloted to Satnaam Cont.",,,,0,,0,,,#DIV/0!,,,NARWANA,,,,,,,,,,,,,,,,,,,,,,
100,25750-R N.S.K. Minor,EXTENSION,,,Sunil Kumar ,"Tender has opened and work alloted to Satish Cont. Jitgir Udeypur but he is not interesed to do work",,,,0,,0,,,#DIV/0!,,,NARWANA,,,,,,,,,,,,,,,,,,,,,9466252326 virender,
101,1050-L Narwana Minor,EXTENSION,,,-,"Farmer want ugpl through Katcha Gamma(Field Path) and l section sanctioned as open",,,,0,,0,,,#DIV/0!,,,NARWANA,,,,,,,,,,,,,,,,,,,,,,
102,39000-R Narwana Minor,EXTENSION,,,-,,,,,0,,0,,,#DIV/0!,,,NARWANA,,,,,,,,,,,,,,,,,,,,,,
103,12697-L Gurthali Minor,EXTENSION,487,593,Sunil Kumar ,COMPLETED AT SITE,16/9/2024,"No. 165 Dated 12.03.2024","THE BABA GAIBI SAHIB BHONGRA ANUP 9416557001",19480,0,0,2926,2926,100.00%,,surjakhera,NARWANA,UJHANA,JIND,1620000,1286901,1275249,178937,1/7/2024,16/9/2024,,,,2.3,0.875,-,-,27,32,4,3,,9416659294 satbir,
104,1140-R Narwana Minor,EXTENSION,,,Sunil Kumar ,"DETAIL ESTIMATE SANCTIONED BUT TENDER HAS NOT CALLED YET",,,,0,,0,,,#DIV/0!,,,NARWANA,,,,,,,,,,,,,,,,,,,,,7404913064 surya,
105,13050-R Belarkha Minor,EXTENSION,499,519,Anil Hans JE,COMPLETED AT SITE,2/7/2024,,"THE SHYAM BABA CO-OP LandC SOCIETY LTD KAKROD  9050169958",19960,,19960,660,,94.55%,,,NARWANA,,,396000,326772,308966,308966,19/1/2024,2/7/2024,,,,2.3,0.875,,,6,,1,,,8607260933 pardeep,
106,120100-R SUDKAIN DISTY.,EXTENSION,558,558,Sunil Kumar,"Detail estimate sent to Xen",,,,22320,-,4367,-,,,,"SINGHWAL,SUDKAIN KHURD",NARWANA,NARWANA,JIND,,,,,,,,,,,,,,,,,,,,
107,12350-R SS LINK CHANNEL,EXTENSION,,,Sunil Kumar,"Tender Has Flotted",,,,0,-,9268,-,-,,,BASS KHURD,HANSI,HANSI-II,HISAR,5749000,,,,,,,,,,,,,,,,,,,
108,64400-L DHAMTAN DISTY,EXTENSION,656,778,Sunil Kumar,"DETAIL ESTIMATE SANCTIONED BUT TENDER HAS NOT CALLED YET",,,,26240,-,3537,-,-,,,"UJHANA,DHUNDWA",NARWANA,NARWANA,JIND,2681000,,,,,,,,,,,,,,,,,,,
109,12850-L SURBRA DISTY,EXTENSION,382.31,445.16,Sunil Kumar,"Detail estimate sent to Xen",,,,15292.4,,7898,-,-,,,KAKROD,UCHANA,UCHANA,JIND,4809000,,,,,,,,,,,,,,,,,,,
110,17113-L KHARAL MINOR,EXTENSION,491,496,Sunil Kumar,"Detail estimate sent to Xen",,,,19640,-,6004,-,-,,,KHARAL,NARWANA,NARWANA,JIND,3904000,,,,,,,,,,,,,,,,,,,